Episode, CL, SupCL, UnsupCL, ClassificationLoss
0,32.94828414916992,55.23076248168945,10.665802955627441,0.8790969848632812
1,32.59495162963867,54.563785552978516,10.626114845275879,0.8720455765724182
2,32.596153259277344,54.60905838012695,10.583247184753418,0.8947741389274597
3,31.676538467407227,53.03984069824219,10.313237190246582,0.8092721104621887
4,32.54810333251953,54.426544189453125,10.669658660888672,0.8599450588226318
5,32.873756408691406,54.958282470703125,10.78923225402832,0.8106122612953186
6,32.31156539916992,54.340850830078125,10.282279968261719,0.8241788148880005
7,32.53377151489258,54.635135650634766,10.43240737915039,0.7902599573135376
8,32.65396499633789,55.051570892333984,10.256359100341797,0.7784950137138367
9,32.400474548339844,54.641815185546875,10.159137725830078,0.7450454235076904
10,31.66541862487793,53.124427795410156,10.206409454345703,0.7551471590995789
11,32.76919174194336,54.293785095214844,11.244600296020508,0.7363172173500061
12,32.81300354003906,55.12588119506836,10.500127792358398,0.7256805300712585
13,32.284976959228516,54.27244567871094,10.297506332397461,0.6755930781364441
14,32.58168411254883,54.626670837402344,10.536699295043945,0.6488596200942993
15,28.364849090576172,46.37574768066406,10.353950500488281,3.174258232116699
16,33.2965087890625,54.26034164428711,12.33267879486084,0.2362808734178543
17,33.2978515625,54.61534118652344,11.980360984802246,2.813755512237549
18,33.0939826965332,54.595882415771484,11.592082977294922,9.341914176940918
19,32.99512481689453,54.57456588745117,11.415685653686523,0.8744142651557922
20,32.894107818603516,54.64320755004883,11.14500617980957,1.0897090435028076
21,32.873172760009766,54.729679107666016,11.016664505004883,1.107061505317688
22,32.7199592590332,54.60941696166992,10.830501556396484,3.2757604122161865
23,32.68251037597656,54.600807189941406,10.764217376708984,1.194649338722229
24,32.703819274902344,54.64886474609375,10.758774757385254,3.5144736766815186
25,32.731502532958984,54.78589630126953,10.67711067199707,0.4857020974159241
26,32.63147735595703,54.66584777832031,10.5971040725708,0.7392317056655884
27,32.48603057861328,54.41863250732422,10.553428649902344,0.3315933346748352
28,32.62737274169922,54.67803192138672,10.576713562011719,0.29927676916122437
29,32.587646484375,54.688629150390625,10.48666000366211,0.7720007300376892
30,32.56321716308594,54.662696838378906,10.463735580444336,1.6305627822875977
31,32.537017822265625,54.58103942871094,10.492998123168945,2.332902431488037
32,32.55109405517578,54.67570877075195,10.42647933959961,0.5692466497421265
33,32.561336517333984,54.72447204589844,10.398202896118164,1.1558080911636353
34,32.461708068847656,54.58918380737305,10.334236145019531,0.5158604979515076
35,32.51852798461914,54.68049240112305,10.356562614440918,0.6032572388648987
36,32.53205108642578,54.70132064819336,10.362781524658203,1.3561162948608398
37,32.520729064941406,54.669376373291016,10.372085571289062,0.15759384632110596
38,32.522911071777344,54.675601959228516,10.370223999023438,1.284496545791626
39,32.476531982421875,54.617061614990234,10.336002349853516,0.09701766073703766
40,32.53815841674805,54.72062683105469,10.35568904876709,0.12941807508468628
41,32.41270065307617,54.53363800048828,10.291763305664062,0.9631455540657043
42,32.515811920166016,54.684051513671875,10.347574234008789,0.23233628273010254
43,32.47845458984375,54.645851135253906,10.31106185913086,0.3759678602218628
44,32.44296646118164,54.602622985839844,10.28331184387207,0.47861289978027344
45,32.46471405029297,54.62685012817383,10.302576065063477,0.28694266080856323
46,32.45894241333008,54.63429260253906,10.28359317779541,0.26747968792915344
47,32.460845947265625,54.648441314697266,10.273250579833984,1.5505520105361938
48,32.49821853637695,54.7059211730957,10.29051399230957,0.21952740848064423
49,32.45896911621094,54.6569709777832,10.260965347290039,0.21440842747688293
50,32.451560974121094,54.62723159790039,10.275890350341797,0.4054349362850189
51,32.471282958984375,54.68513107299805,10.257437705993652,0.2140507996082306
52,32.45326232910156,54.66026306152344,10.246259689331055,0.4514886140823364
53,32.43011474609375,54.61214065551758,10.248090744018555,0.1543606072664261
54,32.395931243896484,54.54916000366211,10.242701530456543,0.32802021503448486
55,32.44319152832031,54.63014602661133,10.256233215332031,0.23037053644657135
56,32.458953857421875,54.68269729614258,10.235214233398438,0.9178223013877869
57,32.38124465942383,54.51926803588867,10.243219375610352,0.17531947791576385
58,32.450077056884766,54.662147521972656,10.238005638122559,0.1639193892478943
59,32.4193229675293,54.60114288330078,10.237504959106445,0.3362857401371002
60,32.44910430908203,54.664798736572266,10.233409881591797,0.17807596921920776
61,32.41803741455078,54.607852935791016,10.228225708007812,0.2256796509027481
62,32.4183235168457,54.619667053222656,10.21697998046875,2.0177254676818848
63,32.43148422241211,54.628177642822266,10.23478889465332,0.7142043709754944
64,32.432334899902344,54.63479232788086,10.229878425598145,0.7321415543556213
65,32.42887878417969,54.632877349853516,10.224884033203125,0.8578974008560181
66,32.4201545715332,54.629215240478516,10.21109676361084,0.40401381254196167
67,32.42250061035156,54.628170013427734,10.216828346252441,0.38042086362838745
68,32.41252136230469,54.60224533081055,10.222796440124512,0.04191729426383972
69,32.392189025878906,54.57932662963867,10.20505142211914,0.1603662520647049
70,32.37870407104492,54.557064056396484,10.20034408569336,0.152843177318573
71,32.43535232543945,54.66753005981445,10.203176498413086,0.20026879012584686
72,32.40856170654297,54.62946319580078,10.187664031982422,0.29561787843704224
73,32.40766143798828,54.62873077392578,10.186591148376465,1.1864389181137085
74,32.42200469970703,54.65570068359375,10.188307762145996,2.3249669075012207
75,32.42436218261719,54.64869689941406,10.200031280517578,0.4197224974632263
76,32.41415786743164,54.638084411621094,10.19023323059082,0.5490937829017639
77,32.436767578125,54.68186950683594,10.191668510437012,0.03375588729977608
