Episode, CL, SupCL, UnsupCL, ClassificationLoss
0,5.555332183837891,2.559000253677368,8.551664352416992,4.488325119018555
1,5.446305274963379,1.8012593984603882,9.091351509094238,4.478009223937988
2,6.044187545776367,3.6164772510528564,8.471898078918457,4.483230113983154
3,5.940721035003662,2.839358329772949,9.042083740234375,4.4699296951293945
4,5.940057754516602,3.4385581016540527,8.441557884216309,4.482347011566162
5,4.593290328979492,1.5012785196304321,7.685301780700684,4.462997913360596
6,5.017893314361572,2.375941514968872,7.659845352172852,4.447511672973633
7,6.399228096008301,5.027404308319092,7.771052360534668,4.443843841552734
8,5.246244430541992,2.864811897277832,7.627676486968994,4.438741683959961
9,4.640990257263184,1.6638952493667603,7.618084907531738,4.443044185638428
10,4.577917098999023,1.50114905834198,7.654685020446777,4.427243709564209
11,6.7333197593688965,4.92874813079834,8.537891387939453,4.436639308929443
12,5.796741485595703,3.1235594749450684,8.469923973083496,4.4166998863220215
13,5.30879545211792,2.9760358333587646,7.641554832458496,4.425783157348633
14,6.192637920379639,3.9455442428588867,8.43973159790039,4.395935535430908
15,5.419595718383789,2.4066619873046875,8.43252944946289,4.4071221351623535
16,5.724491119384766,3.079667329788208,8.369315147399902,4.403148651123047
17,5.433263301849365,2.5024068355560303,8.364119529724121,4.385961055755615
18,7.414804458618164,5.921670436859131,8.907938957214355,4.382383823394775
19,4.974399566650391,1.5856332778930664,8.363165855407715,4.392635822296143
20,4.792831897735596,1.9567795991897583,7.6288838386535645,4.3763203620910645
21,7.07505989074707,5.243257999420166,8.906862258911133,4.374478340148926
22,5.124529838562012,2.6197776794433594,7.629282474517822,4.3666276931762695
23,4.770989894866943,1.9018973112106323,7.640082359313965,4.346134185791016
24,5.24163293838501,2.110902786254883,8.372363090515137,4.352824687957764
25,5.027342796325684,1.735285997390747,8.3193998336792,4.334541320800781
26,6.341118812561035,5.052139759063721,7.630097389221191,4.333347797393799
27,5.572649002075195,2.7190399169921875,8.426258087158203,4.299455165863037
28,4.870604991912842,2.103771924972534,7.6374382972717285,4.302724361419678
29,4.947384357452393,2.257502794265747,7.637265682220459,4.308637619018555
30,8.259315490722656,8.126886367797852,8.391745567321777,4.287050724029541
31,6.517524719238281,4.659432888031006,8.375617027282715,4.274234294891357
32,4.876699447631836,1.4189813137054443,8.334417343139648,4.28204870223999
33,4.89626932144165,1.484362244606018,8.308176040649414,4.270768642425537
34,4.69209098815918,1.8530073165893555,7.531174659729004,4.233951091766357
35,6.228939056396484,4.115830898284912,8.342046737670898,4.212766170501709
36,5.398131847381592,2.5013532638549805,8.294910430908203,4.199979305267334
37,6.654242515563965,5.664980888366699,7.643504619598389,4.21015739440918
38,6.094602108001709,3.8798224925994873,8.309381484985352,4.17526388168335
39,5.616812229156494,2.9489643573760986,8.284660339355469,4.173579216003418
40,4.883867263793945,2.1096317768096924,7.658102512359619,4.171380043029785
41,5.145732879638672,2.045825719833374,8.24563980102539,4.151946067810059
42,7.643892765045166,7.6739678382873535,7.6138176918029785,4.121039390563965
43,5.283858776092529,2.186025619506836,8.381691932678223,4.132655143737793
44,5.1657586097717285,2.713909864425659,7.617607593536377,4.093685626983643
45,6.917731285095215,6.1341094970703125,7.701353073120117,4.06077766418457
46,4.997646331787109,2.2675464153289795,7.72774600982666,4.0726447105407715
47,5.419166088104248,2.5706660747528076,8.26766586303711,4.058638095855713
48,5.100356101989746,2.6072051525115967,7.593507289886475,4.029014587402344
49,4.634286880493164,1.6339130401611328,7.634660720825195,4.079298496246338
50,4.978160381317139,1.711822271347046,8.244498252868652,4.0057477951049805
51,5.654284477233887,3.0601465702056885,8.248422622680664,3.9596593379974365
52,5.408985137939453,3.201692581176758,7.616277694702148,3.9878203868865967
53,6.053812503814697,3.907973527908325,8.199651718139648,3.906776189804077
54,5.609169006347656,3.583554744720459,7.634782791137695,3.8816487789154053
55,5.4853105545043945,3.349761486053467,7.6208600997924805,3.856052875518799
56,6.083132743835449,3.946492910385132,8.219772338867188,3.8358428478240967
57,5.650173187255859,3.059390068054199,8.24095630645752,3.7978811264038086
58,6.182865142822266,4.769344329833984,7.596385478973389,3.744391679763794
59,4.961503982543945,2.323951482772827,7.599056720733643,3.727841854095459
60,7.740574836730957,6.923838138580322,8.55731201171875,3.7813191413879395
61,4.973915100097656,2.3528096675872803,7.595020294189453,3.7601563930511475
62,6.431022644042969,5.2421393394470215,7.619905471801758,3.5998125076293945
63,4.844269752502441,2.059267044067383,7.629271984100342,3.550809144973755
64,4.5305891036987305,1.4360952377319336,7.6250834465026855,3.792414903640747
65,5.794502258300781,3.3357174396514893,8.253287315368652,3.454801321029663
66,6.294900894165039,4.35335636138916,8.236445426940918,3.3724253177642822
67,5.840078353881836,4.016075611114502,7.664080619812012,3.2884387969970703
68,4.895830154418945,1.6042941808700562,8.187366485595703,3.2710940837860107
69,6.486759185791016,5.3362884521484375,7.637230396270752,3.070474624633789
70,4.526198863983154,1.4220553636550903,7.630342483520508,3.191601276397705
71,4.843238353729248,1.421535849571228,8.264941215515137,3.335733652114868
72,5.023589611053467,1.4966230392456055,8.550556182861328,3.0143496990203857
73,6.418471813201904,5.156004428863525,7.680939197540283,2.727921724319458
74,4.832330703735352,1.4785537719726562,8.186107635498047,2.890181541442871
75,4.848581314086914,1.5314215421676636,8.165740966796875,2.5834553241729736
76,6.6291117668151855,5.063729286193848,8.194494247436523,1.967084527015686
77,6.2249250411987305,4.838079452514648,7.611770153045654,1.7769255638122559
78,6.577029228210449,4.988368511199951,8.165689468383789,1.535165548324585
79,5.091047286987305,2.555765390396118,7.62632942199707,2.5012307167053223
80,4.796876907348633,1.4952454566955566,8.09850788116455,1.6588538885116577
81,4.826498031616211,1.5109833478927612,8.142012596130371,2.483407974243164
82,5.48681116104126,2.821209669113159,8.152412414550781,1.0205587148666382
83,5.598897933959961,3.0680477619171143,8.129748344421387,1.1383588314056396
84,5.690488815307617,3.8200254440307617,7.560952186584473,0.8781564831733704
85,4.919971942901611,1.7377598285675049,8.102184295654297,1.8798292875289917
86,5.546774387359619,3.4992616176605225,7.594286918640137,0.552568256855011
87,4.923343658447266,1.4299620389938354,8.416725158691406,1.3067243099212646
88,5.012221813201904,1.9370602369308472,8.087383270263672,0.8598314523696899
89,5.24190616607666,2.7976901531219482,7.686121940612793,0.4807018041610718
90,5.38405704498291,2.6682496070861816,8.09986400604248,0.49683913588523865
91,6.4481000900268555,5.278426170349121,7.61777400970459,1.3365423679351807
92,4.594153881072998,1.5997226238250732,7.588584899902344,2.03092622756958
93,7.181910514831543,6.243791103363037,8.12002944946289,0.8582245111465454
94,5.09273624420166,2.1147263050079346,8.070746421813965,1.229304313659668
95,6.814203262329102,5.582010269165039,8.046396255493164,0.4805155396461487
96,5.651221752166748,3.2423250675201416,8.060118675231934,2.077054023742676
97,5.072883129119873,2.574169158935547,7.571597099304199,0.7681992053985596
98,4.8877644538879395,2.1824429035186768,7.593086242675781,0.9726554155349731
99,5.08818244934082,2.113680839538574,8.062684059143066,1.116632103919983
100,4.57188606262207,1.5341567993164062,7.609615325927734,1.1626702547073364
101,6.032583236694336,3.718870162963867,8.346296310424805,0.3605194687843323
102,7.457510948181152,7.327823638916016,7.587198734283447,0.25782275199890137
103,5.254832744598389,2.931251287460327,7.578413963317871,1.8457082509994507
104,6.459755897521973,5.315913677215576,7.603598594665527,0.4983537495136261
105,6.563103675842285,4.7817301750183105,8.344476699829102,1.6363847255706787
106,4.708046913146973,1.7181376218795776,7.697956085205078,1.8012661933898926
107,4.910689353942871,1.696376085281372,8.12500286102295,2.5172250270843506
108,5.816957473754883,3.604074239730835,8.029840469360352,2.173307418823242
109,4.944165229797363,2.280146598815918,7.608183860778809,0.5855190753936768
110,6.583093643188477,5.13655424118042,8.029633522033691,0.2877997159957886
111,5.860939025878906,3.6909232139587402,8.03095531463623,0.42931050062179565
112,5.133286476135254,2.654003143310547,7.612570285797119,0.24560853838920593
113,6.252838611602783,4.490779876708984,8.014897346496582,0.18998052179813385
114,6.136449813842773,4.2280144691467285,8.044885635375977,0.25161847472190857
115,5.067960739135742,2.0927011966705322,8.043220520019531,0.4561896324157715
116,6.397063732147217,5.197848320007324,7.596279144287109,0.20800817012786865
117,5.4048919677734375,2.758749485015869,8.051033973693848,0.6959079504013062
118,5.098747730255127,2.1820554733276367,8.015439987182617,0.3782000243663788
119,5.120971202850342,2.2014474868774414,8.040494918823242,1.09657883644104
120,6.092856407165527,4.1931610107421875,7.992551803588867,0.32957011461257935
121,5.080861568450928,2.141885995864868,8.019837379455566,0.629249632358551
122,5.115179538726807,2.1909263134002686,8.039432525634766,0.8840380311012268
123,5.494128704071045,3.3898184299468994,7.598438739776611,0.4781985580921173
124,5.305665016174316,2.3434596061706543,8.26786994934082,1.3155502080917358
125,6.061786651611328,4.112712383270264,8.010860443115234,0.23197698593139648
126,6.117316246032715,4.614903450012207,7.619729042053223,0.3126905560493469
127,6.949283123016357,6.2811784744262695,7.617387771606445,0.14876577258110046
128,4.801819324493408,1.6096103191375732,7.994028091430664,1.4349709749221802
129,5.530481815338135,3.465186834335327,7.5957770347595215,0.2549338936805725
130,5.688828468322754,3.3744893074035645,8.003168106079102,0.42139533162117004
131,4.550230503082275,1.513340950012207,7.587120056152344,1.1320940256118774
132,5.178402423858643,2.739198923110962,7.617606163024902,0.6653093099594116
133,5.6918864250183105,3.779005765914917,7.604766845703125,0.9939401745796204
134,4.744864463806152,1.4950666427612305,7.994662284851074,1.1847249269485474
135,5.9101948738098145,4.157880783081055,7.662508964538574,0.7629072666168213
136,5.329975605010986,2.6117022037506104,8.048249244689941,1.1832855939865112
137,4.97818660736084,2.005429744720459,7.9509429931640625,0.9791688919067383
138,6.013891220092773,4.017160892486572,8.010622024536133,0.19947464764118195
139,6.870765686035156,5.761781215667725,7.979750633239746,0.14908066391944885
140,6.456052780151367,5.330375671386719,7.581729888916016,1.9531151056289673
141,6.1290788650512695,4.665323734283447,7.592833518981934,0.16416765749454498
142,4.903147220611572,1.8806298971176147,7.925664901733398,0.7586290836334229
143,6.3986382484436035,5.200693130493164,7.596583366394043,0.6864422559738159
144,5.6097869873046875,3.2592668533325195,7.9603071212768555,0.47761452198028564
145,4.717231750488281,1.8498470783233643,7.584616184234619,1.990095853805542
146,5.036062240600586,2.465592384338379,7.606532573699951,0.39432334899902344
147,5.826905250549316,4.0420002937316895,7.611810684204102,0.9114441871643066
148,4.956127166748047,2.320038318634033,7.592216491699219,0.3537720739841461
149,5.322693347930908,3.046642541885376,7.5987443923950195,0.4309115707874298
150,5.968142509460449,4.328158378601074,7.608126640319824,0.1896502524614334
151,4.999178886413574,2.3897221088409424,7.608635902404785,0.7022459506988525
152,4.83173942565918,1.6919838190078735,7.971494674682617,0.6563463807106018
153,4.847344875335693,2.099280595779419,7.595409393310547,0.47984424233436584
154,4.836236476898193,2.0642755031585693,7.6081976890563965,0.37284380197525024
155,4.8042120933532715,2.0056376457214355,7.602786540985107,0.44186654686927795
156,4.674978256225586,1.4129196405410767,7.937036514282227,1.1845506429672241
157,5.281428813934326,2.612560510635376,7.9502973556518555,0.17407000064849854
158,4.690725326538086,1.432906985282898,7.948544025421143,2.015211343765259
159,5.140638828277588,2.1703288555145264,8.11094856262207,0.5306411981582642
160,5.539913654327393,3.1477386951446533,7.932088851928711,0.2976228892803192
161,8.292962074279785,8.670530319213867,7.915393829345703,0.12557204067707062
162,5.283992290496826,2.9592783451080322,7.608706474304199,1.0741629600524902
163,5.310317039489746,2.6887764930725098,7.931857109069824,0.7498475313186646
164,4.676340579986572,1.438051462173462,7.914629936218262,1.57859206199646
165,6.52903938293457,5.490757465362549,7.56732177734375,0.460496723651886
166,4.6532673835754395,1.724200963973999,7.582333564758301,0.9718737006187439
167,5.510747909545898,3.113692283630371,7.907803535461426,0.6916979551315308
168,5.7289934158325195,3.544543743133545,7.913443565368652,0.3083544671535492
169,5.884420394897461,3.8947205543518066,7.874119758605957,0.3729321360588074
170,7.019674777984619,6.441335678100586,7.598013877868652,0.23393526673316956
171,4.831294536590576,1.6186245679855347,8.043964385986328,1.5943591594696045
172,6.144837379455566,4.684246063232422,7.605428218841553,0.5692305564880371
173,4.667994976043701,1.4432404041290283,7.892749786376953,1.1954917907714844
174,5.127744197845459,2.362484931945801,7.893003463745117,0.9434793591499329
175,5.372844696044922,2.8747916221618652,7.870898246765137,0.3319421112537384
176,5.633220672607422,3.6745822429656982,7.591859340667725,0.5857633948326111
177,5.451050758361816,2.995800018310547,7.906301975250244,0.24495664238929749
178,4.976176738739014,2.064028024673462,7.8883256912231445,0.34056520462036133
179,5.010611057281494,2.3876492977142334,7.633572578430176,0.34607410430908203
180,5.726949214935303,3.4398298263549805,8.014068603515625,0.16778813302516937
181,5.1113762855529785,2.2997398376464844,7.923012733459473,0.53396075963974
182,8.204629898071289,8.786846160888672,7.622413158416748,0.2578275203704834
183,5.387772083282471,2.888265609741211,7.8872785568237305,0.7580989599227905
184,7.077676296234131,6.2978057861328125,7.857546806335449,0.12228263914585114
185,4.8231892585754395,2.004821538925171,7.641557216644287,0.349517285823822
186,4.504807949066162,1.4198988676071167,7.589717388153076,1.3551654815673828
