Episode, CL, SupCL, UnsupCL, ClassificationLoss
0,4.622220039367676,1.4398083686828613,7.804631233215332,4.317172527313232
1,5.0551838874816895,1.834107518196106,8.276260375976562,4.333464622497559
2,6.168164253234863,4.516410827636719,7.819917678833008,4.336832523345947
3,4.924127578735352,2.025259017944336,7.822996139526367,4.323998928070068
4,4.603128910064697,1.5689975023269653,7.637260437011719,4.307020664215088
5,4.851492881774902,2.0850815773010254,7.6179046630859375,4.316179275512695
6,4.869356155395508,1.5012602806091309,8.237452507019043,4.28734827041626
7,5.307524681091309,1.9113781452178955,8.7036714553833,4.316390514373779
8,6.543527603149414,5.469699382781982,7.617355823516846,4.314487457275391
9,4.8659539222717285,1.436790108680725,8.295117378234863,4.288055896759033
10,4.927070617675781,2.2150702476501465,7.639070510864258,4.29456901550293
11,6.0232768058776855,3.864499092102051,8.18205451965332,4.303360462188721
12,5.565575122833252,3.502272605895996,7.628877639770508,4.302771091461182
13,4.607591152191162,1.6339166164398193,7.581265926361084,4.270613670349121
14,5.008315086364746,2.362839937210083,7.653790473937988,4.2867960929870605
15,6.0922651290893555,4.5668511390686035,7.617679119110107,4.277884006500244
16,5.363600254058838,3.0913894176483154,7.635810852050781,4.280768394470215
17,5.446755409240723,2.6323323249816895,8.261178970336914,4.2807841300964355
18,5.513838768005371,2.8505377769470215,8.177140235900879,4.272673606872559
19,5.595905303955078,3.386482000350952,7.805328369140625,4.268375873565674
20,5.443861961364746,2.726447582244873,8.161275863647461,4.2598676681518555
21,5.850228309631348,3.57820987701416,8.122246742248535,4.2584404945373535
22,6.90132999420166,6.248605728149414,7.554054260253906,4.260313987731934
23,5.1545257568359375,2.203108310699463,8.105942726135254,4.246058940887451
24,4.90221643447876,1.7447426319122314,8.059690475463867,4.239433288574219
25,5.606310844421387,3.575575828552246,7.637045860290527,4.233124732971191
26,6.175333023071289,4.221471786499023,8.129194259643555,4.238910675048828
27,6.998136520385742,6.3997979164123535,7.596475124359131,4.23042106628418
28,4.830830097198486,1.5418471097946167,8.119812965393066,4.219081878662109
29,5.460373401641846,3.2927145957946777,7.628032207489014,4.214725971221924
30,5.534949779510498,2.504671812057495,8.565227508544922,4.212650299072266
31,5.25521183013916,2.4679183959960938,8.042505264282227,4.196234226226807
32,4.983426570892334,1.895810842514038,8.07104206085205,4.205350399017334
33,5.964975357055664,4.081692695617676,7.848258018493652,4.197521209716797
34,4.727458953857422,1.8534016609191895,7.6015167236328125,4.197365760803223
35,5.518865585327148,2.9785289764404297,8.059202194213867,4.190154552459717
36,5.5767107009887695,2.829353094100952,8.324068069458008,4.171826362609863
37,5.014660835266113,2.4377989768981934,7.591523170471191,4.173776626586914
38,6.085168361663818,4.188241004943848,7.982095718383789,4.171131134033203
39,4.842673301696777,2.0672414302825928,7.618105411529541,4.160707473754883
40,4.971352577209473,1.8568336963653564,8.085871696472168,4.157044887542725
41,4.739337921142578,1.4705123901367188,8.008163452148438,4.167660713195801
42,4.874451160430908,1.712025761604309,8.036876678466797,4.149263858795166
43,6.315580368041992,4.621857166290283,8.00930404663086,4.129655838012695
44,4.776112079620361,1.5456507205963135,8.006573677062988,4.139983654022217
45,5.826310157775879,3.6494405269622803,8.003179550170898,4.120675086975098
46,5.719579219818115,3.177039861679077,8.262118339538574,4.109955787658691
47,4.951105117797852,2.3283424377441406,7.5738677978515625,4.124892234802246
48,5.543730735778809,3.4783501625061035,7.6091108322143555,4.083659648895264
49,11.362247467041016,14.83901309967041,7.885480880737305,4.081279277801514
50,5.193865776062012,2.346505641937256,8.041226387023926,4.111133098602295
51,5.652906894683838,2.98711895942688,8.318695068359375,4.071028709411621
52,5.217441082000732,2.4298617839813232,8.005020141601562,4.072726249694824
53,4.87058162689209,2.1783621311187744,7.562801361083984,4.054481506347656
