Episode, CL, SupCL, UnsupCL, ClassificationLoss
0,6.416367530822754,5.0868401527404785,7.745894432067871,4.330477237701416
1,5.223907470703125,2.686011791229248,7.761802673339844,4.342184066772461
2,5.878174781799316,2.0803720951080322,9.67597770690918,4.3602752685546875
3,6.036693572998047,3.2920453548431396,8.781341552734375,4.344320297241211
4,5.713361740112305,1.8622667789459229,9.564456939697266,4.316991806030273
5,5.649145126342773,2.49634051322937,8.801949501037598,4.345111846923828
6,6.622506618499756,4.381222724914551,8.863790512084961,4.306419849395752
7,5.009206771850586,2.1300601959228516,7.8883538246154785,4.3027119636535645
8,5.958332538604736,2.466156244277954,9.450509071350098,4.303007125854492
9,4.904953956604004,2.163405418395996,7.646502494812012,4.317713260650635
10,4.766536712646484,0.8491339683532715,8.683938980102539,4.403345584869385
11,5.771485328674316,3.874042510986328,7.668928623199463,4.298959732055664
12,5.2887067794799805,1.8407880067825317,8.736625671386719,4.3282575607299805
13,6.623978137969971,4.550261497497559,8.697694778442383,4.313229084014893
14,5.681370258331299,1.8710565567016602,9.491683959960938,4.305448055267334
15,5.9826202392578125,4.121069431304932,7.844171524047852,4.262296199798584
16,5.140845775604248,1.62738835811615,8.654303550720215,4.299744606018066
17,5.501954078674316,3.378051280975342,7.625856399536133,4.26481294631958
18,4.75892448425293,1.8867192268371582,7.631130218505859,4.273336887359619
19,7.597484588623047,6.62517786026001,8.569791793823242,4.291024684906006
20,5.322517395019531,2.999049663543701,7.645984649658203,4.272716045379639
21,6.03950309753418,3.3930604457855225,8.685945510864258,4.243464946746826
22,4.553342819213867,1.4409180879592896,7.665767669677734,4.280289649963379
23,5.916224002838135,3.2464592456817627,8.585988998413086,4.263071060180664
24,5.088224411010742,1.5688424110412598,8.607606887817383,4.280167579650879
25,5.52606725692749,3.173851728439331,7.87828254699707,4.22031307220459
26,5.121585369110107,2.605032444000244,7.638138294219971,4.221674919128418
27,5.255644798278809,2.004138946533203,8.507150650024414,4.25351095199585
28,6.3969268798828125,5.144200325012207,7.649653434753418,4.272390365600586
29,5.763476848602295,2.9984962940216064,8.528457641601562,4.202751636505127
30,5.6020097732543945,2.6395881175994873,8.564431190490723,4.27213191986084
31,5.180216312408447,2.7434208393096924,7.617012023925781,4.191373348236084
32,5.429234504699707,2.401555061340332,8.456913948059082,4.1968092918396
33,6.435768127441406,5.170615196228027,7.700921058654785,4.178501605987549
34,5.1520161628723145,1.8393831253051758,8.464649200439453,4.241542339324951
35,6.673750877380371,5.718953609466553,7.628548622131348,4.175020694732666
36,5.164891242980957,1.8310871124267578,8.498695373535156,4.203743934631348
37,6.0691962242126465,3.6866066455841064,8.451786041259766,4.161911487579346
38,4.532767295837402,1.4785256385803223,7.587009429931641,4.238062858581543
39,5.483356475830078,2.293910264968872,8.672802925109863,4.189291000366211
40,4.598420143127441,1.5681761503219604,7.628664493560791,4.1973724365234375
41,4.8117499351501465,1.868962049484253,7.754537582397461,4.189925670623779
42,5.42602014541626,3.236819267272949,7.61522102355957,4.229654788970947
43,5.428995132446289,3.219129800796509,7.638860702514648,4.137592315673828
44,5.516098499298096,3.1609315872192383,7.871265411376953,4.19317102432251
45,6.09522819519043,4.541429042816162,7.6490278244018555,4.124969959259033
46,5.285393238067627,2.2114133834838867,8.359373092651367,4.1504740715026855
47,4.7445526123046875,1.896079659461975,7.593025207519531,4.132441520690918
48,4.703524112701416,1.812046766281128,7.595001697540283,4.234774589538574
49,5.7236104011535645,3.0254266262054443,8.421793937683105,4.112215995788574
50,4.562252998352051,1.4722838401794434,7.6522216796875,4.183051109313965
51,4.933313369750977,1.5016429424285889,8.364983558654785,4.165576457977295
52,5.083850860595703,1.8284451961517334,8.339256286621094,4.1768035888671875
53,4.533054828643799,1.4569814205169678,7.609127998352051,4.156078338623047
54,7.272527694702148,6.921361923217773,7.623693466186523,4.0817952156066895
55,4.9318132400512695,1.5552527904510498,8.30837345123291,4.137709617614746
56,6.1759233474731445,4.1166229248046875,8.235223770141602,4.089446067810059
57,6.301766395568848,3.662839412689209,8.940693855285645,4.082261085510254
58,5.941347122192383,3.1082324981689453,8.77446174621582,4.0754313468933105
59,6.520747184753418,5.427084445953369,7.614409446716309,4.065405368804932
60,5.0806756019592285,1.87588369846344,8.285467147827148,4.240028381347656
61,6.377688407897949,5.133720397949219,7.62165641784668,4.069512367248535
62,6.686115264892578,5.776454448699951,7.595775604248047,4.042325973510742
63,4.691415786743164,1.7452750205993652,7.637557029724121,4.064121246337891
64,5.732179641723633,3.0949180126190186,8.369441032409668,4.036865234375
65,5.9377288818359375,3.3979289531707764,8.47752857208252,4.197683811187744
66,5.780252456665039,3.9437618255615234,7.616743564605713,4.010035037994385
67,5.693541526794434,3.785282611846924,7.601800918579102,4.0312981605529785
68,4.794750213623047,1.960190773010254,7.629309177398682,4.031078338623047
69,6.089886665344238,4.4415602684021,7.738213062286377,4.081842422485352
70,5.550732135772705,3.482414484024048,7.619049549102783,4.00784969329834
71,5.05756950378418,2.5153939723968506,7.59974479675293,4.015387535095215
72,5.699697494506836,3.1541519165039062,8.245243072509766,3.975263833999634
73,5.545932292938232,2.4069836139678955,8.684881210327148,3.9866533279418945
74,5.776088714599609,3.1756367683410645,8.376541137695312,3.997964859008789
75,5.182180404663086,2.1056008338928223,8.258760452270508,4.002941131591797
76,4.818678855895996,1.4156181812286377,8.221739768981934,4.146371364593506
77,5.4834699630737305,3.3709802627563477,7.595959663391113,3.938906192779541
78,5.882408142089844,3.088671922683716,8.67614459991455,3.960291624069214
79,4.888972282409668,2.150630235671997,7.62731409072876,3.985656499862671
80,4.868197917938232,2.132291078567505,7.604104995727539,3.987361192703247
81,4.761114597320557,1.8940863609313965,7.628142833709717,4.010146617889404
82,4.5774736404418945,1.6648662090301514,7.490080833435059,4.217605113983154
83,5.3124518394470215,2.0426204204559326,8.582283020019531,4.0044755935668945
84,7.7305216789245605,7.237010955810547,8.224032402038574,3.8968372344970703
85,4.614558696746826,1.6352756023406982,7.593841552734375,4.137837886810303
86,5.7069621086120605,2.8732388019561768,8.540685653686523,3.879244565963745
87,6.889979362487793,5.193611145019531,8.586347579956055,3.8844802379608154
88,5.580291748046875,3.5943353176116943,7.566247940063477,3.859508514404297
89,5.300638675689697,3.0344908237457275,7.566786766052246,3.8738205432891846
90,4.831015586853027,2.049694061279297,7.6123366355896,4.0693817138671875
91,4.79609489440918,1.4593183994293213,8.132871627807617,3.944855213165283
92,6.120432376861572,4.103625297546387,8.137239456176758,3.822903871536255
93,4.5102362632751465,1.4194051027297974,7.601067543029785,3.983163833618164
94,6.668628692626953,5.201558589935303,8.135698318481445,3.8000423908233643
95,5.989253044128418,3.6611008644104004,8.317405700683594,3.815591335296631
96,5.348293304443359,2.625566244125366,8.071020126342773,3.802457571029663
97,5.735344886779785,3.358823776245117,8.111865997314453,3.8058054447174072
98,5.09448766708374,2.0779945850372314,8.110980987548828,4.143945693969727
