Episode, CL, SupCL, UnsupCL, ClassificationLoss
0,0,0,0,0.7056597471237183
1,0,0,0,0.6988204121589661
2,0,0,0,0.6990753412246704
3,0,0,0,0.6949089169502258
4,0,0,0,0.6908503174781799
5,0,0,0,0.6864246726036072
6,0,0,0,0.6915910840034485
7,0,0,0,0.6851754188537598
8,0,0,0,0.6797081828117371
9,0,0,0,0.6818209886550903
10,0,0,0,0.6799924373626709
11,0,0,0,0.6947512626647949
12,0,0,0,0.6723228693008423
13,0,0,0,0.6725490093231201
14,0,0,0,0.6631386280059814
15,0,0,0,0.6617484092712402
16,0,0,0,0.6554973125457764
17,0,0,0,0.6611203551292419
18,0,0,0,0.6731575131416321
19,0,0,0,0.6446875929832458
20,0,0,0,0.641431987285614
21,0,0,0,0.6435674428939819
22,0,0,0,0.6324161887168884
23,0,0,0,0.636553943157196
24,0,0,0,0.6241315007209778
25,0,0,0,0.6283840537071228
26,0,0,0,0.7077574133872986
27,0,0,0,0.6500194072723389
28,0,0,0,0.6896640658378601
29,0,0,0,0.6213968992233276
30,0,0,0,0.638572633266449
31,0,0,0,0.6078220009803772
32,0,0,0,0.6273724436759949
33,0,0,0,0.6138361096382141
34,0,0,0,0.6154683232307434
35,0,0,0,0.5855715274810791
36,0,0,0,0.5851706862449646
37,0,0,0,0.5852169394493103
38,0,0,0,0.5718277096748352
39,0,0,0,0.5913046598434448
40,0,0,0,0.5686507225036621
41,0,0,0,0.5661848187446594
42,0,0,0,0.6595056056976318
43,0,0,0,0.5508855581283569
44,0,0,0,0.5917569994926453
45,0,0,0,0.5492364764213562
46,0,0,0,0.5387385487556458
47,0,0,0,0.5644376873970032
48,0,0,0,0.5831903219223022
49,0,0,0,0.5225127935409546
50,0,0,0,0.5199911594390869
51,0,0,0,0.5391238331794739
52,0,0,0,0.5078664422035217
53,0,0,0,0.5343664288520813
54,0,0,0,0.5230923891067505
55,0,0,0,0.553925633430481
56,0,0,0,0.5186401009559631
57,0,0,0,0.4831002354621887
58,0,0,0,0.48537251353263855
59,0,0,0,0.4818599224090576
60,0,0,0,0.5478042364120483
61,0,0,0,0.5741314888000488
62,0,0,0,0.4872329831123352
63,0,0,0,0.46638035774230957
64,0,0,0,0.47250527143478394
65,0,0,0,0.4611659348011017
66,0,0,0,0.5081983804702759
67,0,0,0,0.6530992388725281
68,0,0,0,0.4263421595096588
69,0,0,0,0.4330236613750458
70,0,0,0,0.42217522859573364
71,0,0,0,0.4205213189125061
72,0,0,0,0.40380778908729553
73,0,0,0,0.4376111328601837
74,0,0,0,0.5291116833686829
75,0,0,0,0.3849019408226013
76,0,0,0,0.5415126085281372
77,0,0,0,0.46779099106788635
78,0,0,0,0.42801588773727417
79,0,0,0,0.35859838128089905
80,0,0,0,0.34177377820014954
81,0,0,0,0.38913583755493164
82,0,0,0,0.4503211975097656
83,0,0,0,0.38285139203071594
84,0,0,0,0.8511932492256165
85,0,0,0,0.48768627643585205
86,0,0,0,0.47907423973083496
87,0,0,0,0.38221102952957153
88,0,0,0,0.35296380519866943
89,0,0,0,0.31460949778556824
90,0,0,0,0.3076891005039215
91,0,0,0,0.29808107018470764
92,0,0,0,0.2901875078678131
93,0,0,0,0.6191001534461975
94,0,0,0,0.29632672667503357
95,0,0,0,0.3284561038017273
96,0,0,0,0.33681851625442505
97,0,0,0,0.24779318273067474
98,0,0,0,0.2437736988067627
99,0,0,0,0.34774988889694214
100,0,0,0,0.29887834191322327
101,0,0,0,0.3640725314617157
102,0,0,0,0.21802793443202972
103,0,0,0,0.2577194273471832
104,0,0,0,0.2628742754459381
105,0,0,0,0.3194220960140228
106,0,0,0,0.21919026970863342
107,0,0,0,0.35522881150245667
108,0,0,0,0.22844015061855316
109,0,0,0,0.28415173292160034
110,0,0,0,0.333212286233902
111,0,0,0,0.8971711993217468
112,0,0,0,0.39647626876831055
113,0,0,0,0.2620759904384613
114,0,0,0,1.8550145626068115
115,0,0,0,0.8224186301231384
116,0,0,0,0.210386723279953
117,0,0,0,0.47852763533592224
118,0,0,0,0.40415412187576294
119,0,0,0,0.5012935400009155
120,0,0,0,0.2372332215309143
121,0,0,0,0.2123808115720749
122,0,0,0,0.6084418892860413
123,0,0,0,1.139898419380188
124,0,0,0,0.5179189443588257
125,0,0,0,0.2063971757888794
126,0,0,0,0.25012749433517456
127,0,0,0,0.27183765172958374
128,0,0,0,0.26338323950767517
129,0,0,0,0.21061524748802185
130,0,0,0,0.2305474877357483
131,0,0,0,0.5754444003105164
132,0,0,0,0.18740248680114746
133,0,0,0,1.1029648780822754
134,0,0,0,0.25567153096199036
135,0,0,0,0.18597722053527832
136,0,0,0,1.1860010623931885
137,0,0,0,0.3113987445831299
138,0,0,0,0.19937844574451447
139,0,0,0,0.36796197295188904
140,0,0,0,0.22535601258277893
141,0,0,0,0.1819235384464264
142,0,0,0,0.28564387559890747
